xqcut,accepted,source
30,259,mg-Rhadron_mGl-1800
40,294,mg-Rhadron_mGl-1800
50,381,mg-Rhadron_mGl-1800
60,394,mg-Rhadron_mGl-1800
70,453,mg-Rhadron_mGl-1800
80,502,mg-Rhadron_mGl-1800
90,529,mg-Rhadron_mGl-1800
100,544,mg-Rhadron_mGl-1800
110,567,mg-Rhadron_mGl-1800
120,560,mg-Rhadron_mGl-1800
130,547,mg-Rhadron_mGl-1800
140,557,mg-Rhadron_mGl-1800
150,568,mg-Rhadron_mGl-1800
160,566,mg-Rhadron_mGl-1800
170,582,mg-Rhadron_mGl-1800
180,566,mg-Rhadron_mGl-1800
190,565,mg-Rhadron_mGl-1800
200,574,mg-Rhadron_mGl-1800
500,582,mg-Rhadron_mGl-1800
30, 199,StopStop_mStop-1400
30, 309,StopStop_mStop-525
